timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/03/25 21:44:55.178, 0 %, 0 %, 0 MiB, 32768 MiB, 30
2026/03/25 21:49:55.206, 22 %, 8 %, 8390 MiB, 32768 MiB, 37
2026/03/25 21:54:55.235, 18 %, 5 %, 8446 MiB, 32768 MiB, 39
2026/03/25 21:59:55.265, 16 %, 4 %, 8448 MiB, 32768 MiB, 39
2026/03/25 22:04:55.294, 2 %, 0 %, 8448 MiB, 32768 MiB, 39
2026/03/25 22:09:55.325, 16 %, 4 %, 8448 MiB, 32768 MiB, 39
2026/03/25 22:14:55.356, 26 %, 12 %, 8448 MiB, 32768 MiB, 40
2026/03/25 22:19:55.386, 13 %, 3 %, 8448 MiB, 32768 MiB, 40
2026/03/25 22:24:55.416, 17 %, 9 %, 8448 MiB, 32768 MiB, 41
2026/03/25 22:29:55.446, 3 %, 1 %, 11496 MiB, 32768 MiB, 41
2026/03/25 22:34:55.475, 0 %, 0 %, 11496 MiB, 32768 MiB, 39
2026/03/25 22:39:55.504, 31 %, 7 %, 11496 MiB, 32768 MiB, 39
2026/03/25 22:44:55.534, 10 %, 2 %, 11496 MiB, 32768 MiB, 39
2026/03/25 22:49:55.563, 31 %, 7 %, 11496 MiB, 32768 MiB, 39
2026/03/25 22:54:55.593, 30 %, 7 %, 11496 MiB, 32768 MiB, 39
2026/03/25 22:59:55.622, 16 %, 4 %, 11496 MiB, 32768 MiB, 39
2026/03/25 23:04:55.652, 39 %, 16 %, 11736 MiB, 32768 MiB, 40
2026/03/25 23:09:55.681, 3 %, 0 %, 11736 MiB, 32768 MiB, 35
2026/03/25 23:14:55.710, 2 %, 0 %, 11736 MiB, 32768 MiB, 35
2026/03/25 23:19:55.739, 30 %, 12 %, 11736 MiB, 32768 MiB, 34
2026/03/25 23:24:55.767, 39 %, 18 %, 11736 MiB, 32768 MiB, 35
2026/03/25 23:29:55.796, 14 %, 9 %, 11736 MiB, 32768 MiB, 34
2026/03/25 23:34:55.827, 22 %, 6 %, 11736 MiB, 32768 MiB, 34
2026/03/25 23:39:55.859, 25 %, 11 %, 11736 MiB, 32768 MiB, 34
2026/03/25 23:44:55.888, 17 %, 4 %, 11738 MiB, 32768 MiB, 33
2026/03/25 23:49:55.916, 14 %, 3 %, 11738 MiB, 32768 MiB, 34
2026/03/25 23:54:55.945, 21 %, 5 %, 11738 MiB, 32768 MiB, 34
2026/03/25 23:59:55.973, 12 %, 2 %, 11738 MiB, 32768 MiB, 34
2026/03/26 00:04:56.009, 19 %, 4 %, 11738 MiB, 32768 MiB, 34
2026/03/26 00:09:56.038, 0 %, 0 %, 11738 MiB, 32768 MiB, 33
2026/03/26 00:14:56.067, 16 %, 3 %, 11738 MiB, 32768 MiB, 33
2026/03/26 00:19:56.097, 17 %, 4 %, 11738 MiB, 32768 MiB, 33
2026/03/26 00:24:56.126, 0 %, 0 %, 11738 MiB, 32768 MiB, 33
2026/03/26 00:29:56.158, 24 %, 12 %, 11738 MiB, 32768 MiB, 34
2026/03/26 00:34:56.187, 11 %, 2 %, 11738 MiB, 32768 MiB, 34
2026/03/26 00:39:56.215, 12 %, 2 %, 11738 MiB, 32768 MiB, 34
2026/03/26 00:44:56.247, 13 %, 2 %, 11738 MiB, 32768 MiB, 34
2026/03/26 00:49:56.286, 21 %, 5 %, 11738 MiB, 32768 MiB, 33
2026/03/26 00:54:56.318, 46 %, 19 %, 11738 MiB, 32768 MiB, 34
2026/03/26 00:59:56.349, 15 %, 9 %, 11738 MiB, 32768 MiB, 33
2026/03/26 01:04:56.377, 100 %, 87 %, 11738 MiB, 32768 MiB, 37
2026/03/26 01:09:56.406, 30 %, 6 %, 11738 MiB, 32768 MiB, 33
2026/03/26 01:14:56.435, 32 %, 6 %, 11738 MiB, 32768 MiB, 33
2026/03/26 01:19:56.463, 9 %, 1 %, 11738 MiB, 32768 MiB, 32
